Ability,Dimension,Cohort,Trial
1.815392401,Science Identity,Year 1,Before
-1.294150591,Science Identity,Year 1,Before
3.960271423,Science Identity,Year 1,Before
0.473594649,Science Identity,Year 1,Before
1.456803036,Science Identity,Year 1,Before
1.127372394,Science Identity,Year 1,Before
1.127372394,Science Identity,Year 1,Before
-0.783636297,Science Identity,Year 1,Before
-1.294150591,Science Identity,Year 1,Before
2.239694219,Science Identity,Year 1,Before
0.805514298,Science Identity,Year 1,Before
1.815392401,Science Identity,Year 1,Before
0.473594649,Science Identity,Year 1,Before
0.473594649,Science Identity,Year 1,Before
-0.301573966,Science Identity,Year 1,Before
0.473594649,Science Identity,Year 1,Before
-0.783636297,Science Identity,Year 2,Before
2.239694219,Science Identity,Year 2,Before
-2.584763521,Science Identity,Year 2,Before
-4.274915942,Science Identity,Year 2,Before
-2.967997664,Science Identity,Year 2,Before
-2.967997664,Science Identity,Year 2,Before
-0.783636297,Science Identity,Year 2,Before
-0.301573966,Science Identity,Year 2,Before
-3.782023809,Science Identity,Year 2,Before
3.960271423,Science Identity,Year 2,Before
-0.783636297,Science Identity,Year 2,Before
3.960271423,Science Identity,Year 2,Before
-0.783636297,Science Identity,Year 3,Before
-0.783636297,Science Identity,Year 3,Before
-0.783636297,Science Identity,Year 3,Before
1.127372394,Science Identity,Year 3,Before
0.805514298,Science Identity,Year 3,Before
-1.766584924,Science Identity,Year 3,Before
-3.782023809,Science Identity,Year 3,Before
-3.359329206,Science Identity,Year 3,Before
-2.19074681,Science Identity,Year 3,Before
3.960271423,Science Identity,Year 3,Before
-6.210871841,Science Identity,Year 3,Before
2.8183989,Science Identity,Year 3,Before
2.239694219,Science Identity,Year 3,Before
0.112410688,Science Identity,Year 3,Before
-3.782023809,Science Identity,Year 3,Before
2.8183989,Science Identity,Year 3,Before
3.960271423,Science Identity,Year 3,Before
-0.783636297,Science Identity,Year 3,Before
2.239695007,Science Identity,Year 1,After
-0.301573859,Science Identity,Year 1,After
3.960271387,Science Identity,Year 1,After
0.473594505,Science Identity,Year 1,After
2.81839841,Science Identity,Year 1,After
1.81539302,Science Identity,Year 1,After
2.81839841,Science Identity,Year 1,After
2.81839841,Science Identity,Year 1,After
-0.783628914,Science Identity,Year 1,After
2.239695007,Science Identity,Year 1,After
0.805513796,Science Identity,Year 1,After
2.239695007,Science Identity,Year 1,After
0.112410688,Science Identity,Year 1,After
0.473594505,Science Identity,Year 1,After
1.127371902,Science Identity,Year 1,After
1.81539302,Science Identity,Year 1,After
1.456803024,Science Identity,Year 2,After
3.960271387,Science Identity,Year 2,After
2.239695007,Science Identity,Year 2,After
-1.294146857,Science Identity,Year 2,After
-1.766584923,Science Identity,Year 2,After
-0.783628914,Science Identity,Year 2,After
3.960271387,Science Identity,Year 2,After
1.81539302,Science Identity,Year 2,After
2.239695007,Science Identity,Year 2,After
3.960271387,Science Identity,Year 2,After
0.805513796,Science Identity,Year 2,After
3.960271387,Science Identity,Year 2,After
0.112410688,Science Identity,Year 3,After
-0.783628914,Science Identity,Year 3,After
-0.301573859,Science Identity,Year 3,After
3.960271387,Science Identity,Year 3,After
2.239695007,Science Identity,Year 3,After
-1.766584923,Science Identity,Year 3,After
-3.359334206,Science Identity,Year 3,After
1.127371902,Science Identity,Year 3,After
-0.301573859,Science Identity,Year 3,After
3.960271387,Science Identity,Year 3,After
1.456803024,Science Identity,Year 3,After
2.81839841,Science Identity,Year 3,After
2.239695007,Science Identity,Year 3,After
0.473594505,Science Identity,Year 3,After
0.805513796,Science Identity,Year 3,After
2.81839841,Science Identity,Year 3,After
3.960271387,Science Identity,Year 3,After
1.456803024,Science Identity,Year 3,After
1.666881921,Python Skills,Year 1,Before
2.846120655,Python Skills,Year 1,Before
-0.199624064,Python Skills,Year 1,Before
-0.199624064,Python Skills,Year 1,Before
1.026683142,Python Skills,Year 1,Before
-0.199624064,Python Skills,Year 1,Before
5.979835649,Python Skills,Year 1,Before
1.666881921,Python Skills,Year 1,Before
-0.199624064,Python Skills,Year 1,Before
-0.199624064,Python Skills,Year 1,Before
-0.199624064,Python Skills,Year 1,Before
-0.199624064,Python Skills,Year 1,Before
-0.199624064,Python Skills,Year 1,Before
1.026683142,Python Skills,Year 1,Before
-0.199624064,Python Skills,Year 1,Before
-0.199624064,Python Skills,Year 1,Before
3.143971973,Python Skills,Year 2,Before
4.157791855,Python Skills,Year 2,Before
-0.199624064,Python Skills,Year 2,Before
1.026683142,Python Skills,Year 2,Before
-0.199624064,Python Skills,Year 2,Before
-0.199624064,Python Skills,Year 2,Before
-0.199624064,Python Skills,Year 2,Before
-0.199624064,Python Skills,Year 2,Before
4.611258599,Python Skills,Year 2,Before
2.515026438,Python Skills,Year 2,Before
-0.199624064,Python Skills,Year 2,Before
-0.199624064,Python Skills,Year 2,Before
3.67641474,Python Skills,Year 3,Before
-0.199624064,Python Skills,Year 3,Before
-0.199624064,Python Skills,Year 3,Before
6.53633099,Python Skills,Year 3,Before
-0.199624064,Python Skills,Year 3,Before
4.157791855,Python Skills,Year 3,Before
-0.199624064,Python Skills,Year 3,Before
-0.199624064,Python Skills,Year 3,Before
-0.199624064,Python Skills,Year 3,Before
-0.199624064,Python Skills,Year 3,Before
-0.199624064,Python Skills,Year 3,Before
-0.199624064,Python Skills,Year 3,Before
-0.199624064,Python Skills,Year 3,Before
3.418604272,Python Skills,Year 3,Before
-0.199624064,Python Skills,Year 3,Before
-0.199624064,Python Skills,Year 3,Before
-0.199624064,Python Skills,Year 3,Before
1.666881921,Python Skills,Year 3,Before
7.217051896,Python Skills,Year 1,After
7.812953166,Python Skills,Year 1,After
5.950065716,Python Skills,Year 1,After
6.141462621,Python Skills,Year 1,After
6.748450677,Python Skills,Year 1,After
5.950065716,Python Skills,Year 1,After
7.217051896,Python Skills,Year 1,After
4.580919646,Python Skills,Year 1,After
6.748450677,Python Skills,Year 1,After
6.141462621,Python Skills,Year 1,After
5.760429183,Python Skills,Year 1,After
4.366900474,Python Skills,Year 1,After
5.380136393,Python Skills,Year 1,After
5.760429183,Python Skills,Year 1,After
5.186831716,Python Skills,Year 1,After
5.760429183,Python Skills,Year 1,After
7.491355771,Python Skills,Year 2,After
9.952047547,Python Skills,Year 2,After
4.788243695,Python Skills,Year 2,After
7.491355771,Python Skills,Year 2,After
6.748450677,Python Skills,Year 2,After
6.336577163,Python Skills,Year 2,After
9.952047547,Python Skills,Year 2,After
5.186831716,Python Skills,Year 2,After
6.972738129,Python Skills,Year 2,After
4.788243695,Python Skills,Year 2,After
5.570921159,Python Skills,Year 2,After
7.491355771,Python Skills,Year 2,After
4.989881731,Python Skills,Year 3,After
5.186831716,Python Skills,Year 3,After
6.141462621,Python Skills,Year 3,After
9.952047547,Python Skills,Year 3,After
4.989881731,Python Skills,Year 3,After
5.380136393,Python Skills,Year 3,After
3.914068869,Python Skills,Year 3,After
6.141462621,Python Skills,Year 3,After
7.812953166,Python Skills,Year 3,After
9.952047547,Python Skills,Year 3,After
9.952047547,Python Skills,Year 3,After
7.812953166,Python Skills,Year 3,After
7.217051896,Python Skills,Year 3,After
7.491355771,Python Skills,Year 3,After
6.748450677,Python Skills,Year 3,After
9.952047547,Python Skills,Year 3,After
4.145072901,Python Skills,Year 3,After
8.216612106,Python Skills,Year 3,After
1.784985024,Data Science Skills,Year 1,Before
-2.89555118,Data Science Skills,Year 1,Before
0.763385804,Data Science Skills,Year 1,Before
0.191834228,Data Science Skills,Year 1,Before
0.392006452,Data Science Skills,Year 1,Before
-0.518896352,Data Science Skills,Year 1,Before
0.581649998,Data Science Skills,Year 1,Before
3.407438413,Data Science Skills,Year 1,Before
0.392006452,Data Science Skills,Year 1,Before
-0.02249625,Data Science Skills,Year 1,Before
-0.256435758,Data Science Skills,Year 1,Before
0.392006452,Data Science Skills,Year 1,Before
-0.518896352,Data Science Skills,Year 1,Before
0.392006452,Data Science Skills,Year 1,Before
-0.02249625,Data Science Skills,Year 1,Before
-0.825956048,Data Science Skills,Year 1,Before
0.581649998,Data Science Skills,Year 2,Before
1.784985024,Data Science Skills,Year 2,Before
-2.89555118,Data Science Skills,Year 2,Before
-0.256435758,Data Science Skills,Year 2,Before
1.784985024,Data Science Skills,Year 2,Before
1.615663501,Data Science Skills,Year 2,Before
0.191834228,Data Science Skills,Year 2,Before
0.392006452,Data Science Skills,Year 2,Before
1.110964279,Data Science Skills,Year 2,Before
-0.825956048,Data Science Skills,Year 2,Before
-1.761249434,Data Science Skills,Year 2,Before
-0.825956048,Data Science Skills,Year 2,Before
0.763385804,Data Science Skills,Year 3,Before
-2.89555118,Data Science Skills,Year 3,Before
-0.518896352,Data Science Skills,Year 3,Before
2.50773637,Data Science Skills,Year 3,Before
-1.761249434,Data Science Skills,Year 3,Before
0.763385804,Data Science Skills,Year 3,Before
-0.518896352,Data Science Skills,Year 3,Before
-0.825956048,Data Science Skills,Year 3,Before
0.191834228,Data Science Skills,Year 3,Before
1.615663501,Data Science Skills,Year 3,Before
-2.89555118,Data Science Skills,Year 3,Before
-0.256435758,Data Science Skills,Year 3,Before
-2.89555118,Data Science Skills,Year 3,Before
1.957195529,Data Science Skills,Year 3,Before
0.392006452,Data Science Skills,Year 3,Before
-0.518896352,Data Science Skills,Year 3,Before
0.392006452,Data Science Skills,Year 3,Before
0.392006452,Data Science Skills,Year 3,Before
3.407438384,Data Science Skills,Year 1,After
4.820263155,Data Science Skills,Year 1,After
2.70925717,Data Science Skills,Year 1,After
1.957195487,Data Science Skills,Year 1,After
0.392006422,Data Science Skills,Year 1,After
3.155309569,Data Science Skills,Year 1,After
2.133855032,Data Science Skills,Year 1,After
4.001073014,Data Science Skills,Year 1,After
2.507736368,Data Science Skills,Year 1,After
4.367913604,Data Science Skills,Year 1,After
2.924004104,Data Science Skills,Year 1,After
2.70925717,Data Science Skills,Year 1,After
0.763385776,Data Science Skills,Year 1,After
2.507736368,Data Science Skills,Year 1,After
2.924004104,Data Science Skills,Year 1,After
1.784984971,Data Science Skills,Year 1,After
4.367913604,Data Science Skills,Year 2,After
4.001073014,Data Science Skills,Year 2,After
1.784984971,Data Science Skills,Year 2,After
4.820263155,Data Science Skills,Year 2,After
2.70925717,Data Science Skills,Year 2,After
3.68630575,Data Science Skills,Year 2,After
5.446170313,Data Science Skills,Year 2,After
2.133855032,Data Science Skills,Year 2,After
2.316705835,Data Science Skills,Year 2,After
1.110964236,Data Science Skills,Year 2,After
3.407438384,Data Science Skills,Year 2,After
3.68630575,Data Science Skills,Year 2,After
1.957195487,Data Science Skills,Year 3,After
1.615663443,Data Science Skills,Year 3,After
2.924004104,Data Science Skills,Year 3,After
6.657984464,Data Science Skills,Year 3,After
1.615663443,Data Science Skills,Year 3,After
1.615663443,Data Science Skills,Year 3,After
1.110964236,Data Science Skills,Year 3,After
2.507736368,Data Science Skills,Year 3,After
3.407438384,Data Science Skills,Year 3,After
4.001073014,Data Science Skills,Year 3,After
4.367913604,Data Science Skills,Year 3,After
2.70925717,Data Science Skills,Year 3,After
2.507736368,Data Science Skills,Year 3,After
2.924004104,Data Science Skills,Year 3,After
4.367913604,Data Science Skills,Year 3,After
4.820263155,Data Science Skills,Year 3,After
2.133855032,Data Science Skills,Year 3,After
4.367913604,Data Science Skills,Year 3,After
0.318769918,Data Science Communication,Year 1,Before
-0.507423523,Data Science Communication,Year 1,Before
1.774507885,Data Science Communication,Year 1,Before
-0.372010792,Data Science Communication,Year 1,Before
0.909864313,Data Science Communication,Year 1,Before
0.607967093,Data Science Communication,Year 1,Before
-0.507423523,Data Science Communication,Year 1,Before
0.038312579,Data Science Communication,Year 1,Before
0.038312579,Data Science Communication,Year 1,Before
-0.099518466,Data Science Communication,Year 1,Before
0.177635457,Data Science Communication,Year 1,Before
2.467060476,Data Science Communication,Year 1,Before
0.318769918,Data Science Communication,Year 1,Before
0.46207106,Data Science Communication,Year 1,Before
0.909864313,Data Science Communication,Year 1,Before
0.756999218,Data Science Communication,Year 1,Before
0.038312579,Data Science Communication,Year 2,Before
-0.507423523,Data Science Communication,Year 2,Before
-1.659839693,Data Science Communication,Year 2,Before
-1.659839693,Data Science Communication,Year 2,Before
0.177635457,Data Science Communication,Year 2,Before
0.909864313,Data Science Communication,Year 2,Before
-0.236176748,Data Science Communication,Year 2,Before
-1.345721465,Data Science Communication,Year 2,Before
-0.507423523,Data Science Communication,Year 2,Before
-0.236176748,Data Science Communication,Year 2,Before
0.038312579,Data Science Communication,Year 2,Before
1.582182609,Data Science Communication,Year 2,Before
-0.507423523,Data Science Communication,Year 2,Before
-0.236176748,Data Science Communication,Year 3,Before
0.038312579,Data Science Communication,Year 3,Before
1.582182609,Data Science Communication,Year 3,Before
-1.345721465,Data Science Communication,Year 3,Before
0.038312579,Data Science Communication,Year 3,Before
0.038312579,Data Science Communication,Year 3,Before
0.46207106,Data Science Communication,Year 3,Before
-0.099518466,Data Science Communication,Year 3,Before
-0.236176748,Data Science Communication,Year 3,Before
-0.507423523,Data Science Communication,Year 3,Before
0.46207106,Data Science Communication,Year 3,Before
0.177635457,Data Science Communication,Year 3,Before
-0.372010792,Data Science Communication,Year 3,Before
-1.198641117,Data Science Communication,Year 3,Before
2.210853456,Data Science Communication,Year 3,Before
-2.74709468,Data Science Communication,Year 3,Before
-1.498767574,Data Science Communication,Year 3,Before
-0.372010792,Data Science Communication,Year 3,Before
0.038312579,Data Science Communication,Year 3,Before
1.765730812,Data Science Communication,Year 1,After
1.765730812,Data Science Communication,Year 1,After
3.878882829,Data Science Communication,Year 1,After
1.066067985,Data Science Communication,Year 1,After
3.025570242,Data Science Communication,Year 1,After
2.189515273,Data Science Communication,Year 1,After
0.756480295,Data Science Communication,Year 1,After
2.43347854,Data Science Communication,Year 1,After
1.398309486,Data Science Communication,Year 1,After
1.576567819,Data Science Communication,Year 1,After
1.398309486,Data Science Communication,Year 1,After
3.025570242,Data Science Communication,Year 1,After
1.576567819,Data Science Communication,Year 1,After
1.576567819,Data Science Communication,Year 1,After
3.403956107,Data Science Communication,Year 1,After
3.025570242,Data Science Communication,Year 1,After
1.968735377,Data Science Communication,Year 2,After
2.708322885,Data Science Communication,Year 2,After
3.403956107,Data Science Communication,Year 2,After
4.538737843,Data Science Communication,Year 2,After
1.576567819,Data Science Communication,Year 2,After
1.576567819,Data Science Communication,Year 2,After
1.398309486,Data Science Communication,Year 2,After
2.189515273,Data Science Communication,Year 2,After
1.968735377,Data Science Communication,Year 2,After
0.909007489,Data Science Communication,Year 2,After
3.878882829,Data Science Communication,Year 2,After
5.793936444,Data Science Communication,Year 2,After
3.025570242,Data Science Communication,Year 2,After
2.43347854,Data Science Communication,Year 3,After
1.576567819,Data Science Communication,Year 3,After
5.793936444,Data Science Communication,Year 3,After
1.968735377,Data Science Communication,Year 3,After
1.968735377,Data Science Communication,Year 3,After
1.765730812,Data Science Communication,Year 3,After
1.228719071,Data Science Communication,Year 3,After
2.189515273,Data Science Communication,Year 3,After
0.756480295,Data Science Communication,Year 3,After
5.793936444,Data Science Communication,Year 3,After
1.228719071,Data Science Communication,Year 3,After
1.576567819,Data Science Communication,Year 3,After
3.878882829,Data Science Communication,Year 3,After
0.461888499,Data Science Communication,Year 3,After
3.878882829,Data Science Communication,Year 3,After
3.403956107,Data Science Communication,Year 3,After
1.765730812,Data Science Communication,Year 3,After
2.43347854,Data Science Communication,Year 3,After
3.025570242,Data Science Communication,Year 3,After
3.014208967,Data Science Practices,Year 1,Before
0.130922224,Data Science Practices,Year 1,Before
0.736195071,Data Science Practices,Year 1,Before
-0.069214774,Data Science Practices,Year 1,Before
1.597566814,Data Science Practices,Year 1,Before
1.154283092,Data Science Practices,Year 1,Before
-1.562526919,Data Science Practices,Year 1,Before
-1.327682689,Data Science Practices,Year 1,Before
-0.888132674,Data Science Practices,Year 1,Before
0.736195071,Data Science Practices,Year 1,Before
-0.472775887,Data Science Practices,Year 1,Before
0.942962166,Data Science Practices,Year 1,Before
0.942962166,Data Science Practices,Year 1,Before
1.834440324,Data Science Practices,Year 1,Before
0.331234456,Data Science Practices,Year 1,Before
1.154283092,Data Science Practices,Year 1,Before
-0.888132674,Data Science Practices,Year 2,Before
-0.069214774,Data Science Practices,Year 2,Before
-0.888132674,Data Science Practices,Year 2,Before
-2.385678296,Data Science Practices,Year 2,Before
0.736195071,Data Science Practices,Year 2,Before
-0.270114197,Data Science Practices,Year 2,Before
1.597566814,Data Science Practices,Year 2,Before
-3.770581657,Data Science Practices,Year 2,Before
-0.678332049,Data Science Practices,Year 2,Before
-0.270114197,Data Science Practices,Year 2,Before
0.331234456,Data Science Practices,Year 2,Before
0.130922224,Data Science Practices,Year 2,Before
-1.562526919,Data Science Practices,Year 2,Before
1.154283092,Data Science Practices,Year 3,Before
-0.678332049,Data Science Practices,Year 3,Before
1.154283092,Data Science Practices,Year 3,Before
-2.083655582,Data Science Practices,Year 3,Before
0.331234456,Data Science Practices,Year 3,Before
0.130922224,Data Science Practices,Year 3,Before
1.154283092,Data Science Practices,Year 3,Before
0.331234456,Data Science Practices,Year 3,Before
-0.270114197,Data Science Practices,Year 3,Before
0.532659575,Data Science Practices,Year 3,Before
-0.270114197,Data Science Practices,Year 3,Before
1.154283092,Data Science Practices,Year 3,Before
2.663003277,Data Science Practices,Year 3,Before
-0.888132674,Data Science Practices,Year 3,Before
2.663003277,Data Science Practices,Year 3,Before
-3.770581657,Data Science Practices,Year 3,Before
-1.327682689,Data Science Practices,Year 3,Before
-1.103858349,Data Science Practices,Year 3,Before
-1.562526919,Data Science Practices,Year 3,Before
3.447441827,Data Science Practices,Year 1,After
0.942962166,Data Science Practices,Year 1,After
2.663003277,Data Science Practices,Year 1,After
1.154283092,Data Science Practices,Year 1,After
3.014208967,Data Science Practices,Year 1,After
2.086389506,Data Science Practices,Year 1,After
0.331234456,Data Science Practices,Year 1,After
3.447441827,Data Science Practices,Year 1,After
0.532659575,Data Science Practices,Year 1,After
1.154283092,Data Science Practices,Year 1,After
1.597566814,Data Science Practices,Year 1,After
2.663003277,Data Science Practices,Year 1,After
-0.069214774,Data Science Practices,Year 1,After
2.086389506,Data Science Practices,Year 1,After
2.663003277,Data Science Practices,Year 1,After
3.447441827,Data Science Practices,Year 1,After
1.154283092,Data Science Practices,Year 2,After
2.663003277,Data Science Practices,Year 2,After
3.447441827,Data Science Practices,Year 2,After
3.447441827,Data Science Practices,Year 2,After
2.663003277,Data Science Practices,Year 2,After
1.154283092,Data Science Practices,Year 2,After
2.663003277,Data Science Practices,Year 2,After
2.359379806,Data Science Practices,Year 2,After
1.597566814,Data Science Practices,Year 2,After
1.154283092,Data Science Practices,Year 2,After
2.663003277,Data Science Practices,Year 2,After
5.240855639,Data Science Practices,Year 2,After
0.942962166,Data Science Practices,Year 2,After
3.447441827,Data Science Practices,Year 3,After
1.154283092,Data Science Practices,Year 3,After
5.240855639,Data Science Practices,Year 3,After
1.154283092,Data Science Practices,Year 3,After
1.371786608,Data Science Practices,Year 3,After
3.014208967,Data Science Practices,Year 3,After
1.154283092,Data Science Practices,Year 3,After
2.086389506,Data Science Practices,Year 3,After
0.532659575,Data Science Practices,Year 3,After
3.014208967,Data Science Practices,Year 3,After
0.736195071,Data Science Practices,Year 3,After
2.663003277,Data Science Practices,Year 3,After
-0.678332049,Data Science Practices,Year 3,After
1.154283092,Data Science Practices,Year 3,After
3.447441827,Data Science Practices,Year 3,After
3.014208967,Data Science Practices,Year 3,After
1.154283092,Data Science Practices,Year 3,After
0.942962166,Data Science Practices,Year 3,After
2.663003277,Data Science Practices,Year 3,After