ID,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
1,1,1,1,1,3,1,1,1,1,1,3,3,4,4,3,3,3,4,4,4
2,1,1,1,2,2,2,2,1,2,1,4,4,4,2,3,4,4,4,4,4
3,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,4,3,3,3,2
4,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,4,3,3,3,3
5,1,1,1,2,1,1,1,1,1,1,4,3,3,3,3,4,3,4,3,3
6,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,3,3,4,3,2
7,1,2,3,4,4,1,4,2,4,3,4,3,3,4,4,3,4,3,4,3
8,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,3,2,2,3,2
9,1,1,1,1,1,1,1,1,1,1,4,3,3,3,2,3,4,3,4,4
10,1,1,1,1,1,1,1,1,1,1,3,3,4,2,3,3,3,3,3,3
11,1,1,1,1,1,1,1,1,1,1,3,3,3,2,2,3,3,3,3,3
12,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2
13,1,1,1,1,1,1,1,1,1,1,3,3,3,2,1,3,4,2,3,2
14,1,1,1,1,1,1,2,1,1,1,3,3,3,3,3,3,4,2,2,2
15,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,3,3,2,3,3
16,1,1,1,1,1,1,1,1,1,1,4,2,3,3,3,3,3,2,2,3
17,2,2,2,2,1,2,2,1,1,1,4,4,4,4,2,4,4,4,3,3
18,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4
19,1,1,1,1,1,1,1,1,1,1,3,2,2,3,2,3,2,2,2,2
20,1,1,1,2,1,1,1,1,1,1,4,4,4,2,2,4,4,4,4,4
21,1,1,1,1,1,1,1,1,1,1,4,3,3,3,3,4,4,3,3,3
22,1,1,1,1,1,1,1,1,1,1,4,4,3,3,3,3,3,2,4,2
23,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4
24,1,1,1,1,1,1,1,1,1,1,3,2,2,2,1,3,3,3,3,3
25,2,2,2,3,2,2,3,2,2,2,3,3,3,4,2,4,3,4,4,4
26,1,1,2,3,2,1,1,1,1,1,2,2,3,2,3,3,2,3,2,1
27,1,1,1,1,1,1,1,1,1,1,4,4,3,2,2,3,3,2,2,2
28,1,1,1,1,1,1,1,1,1,1,4,3,3,4,3,4,3,4,4,4
29,2,2,2,1,1,2,2,2,2,2,3,2,2,1,1,3,3,3,3,3
30,1,1,1,1,1,1,1,1,1,1,2,3,2,2,3,2,3,2,3,3
31,1,1,1,1,1,1,1,1,1,1,3,3,2,3,3,4,3,3,3,3
32,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
33,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,3,3,2,2,2
34,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,3,3,3
35,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2
36,1,1,1,1,1,1,1,1,1,1,4,3,3,3,2,4,3,4,2,2
37,1,1,1,1,1,1,1,1,1,1,4,4,4,3,3,4,4,3,4,4
38,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4
39,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4
40,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,4,4,4,4,3
41,1,1,1,1,1,1,1,1,1,1,4,3,3,4,4,4,4,3,3,3
42,2,1,2,3,3,1,2,1,1,1,4,4,4,4,3,4,3,4,4,2
43,1,1,1,1,1,1,1,1,1,1,4,3,2,2,2,4,4,4,4,4
44,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4
45,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
46,1,1,1,1,3,1,1,1,1,1,4,4,3,4,3,4,4,4,4,4