ID,Q21#2_1,Q21#2_2,Q21#2_3,Q21#2_4,Q21#2_5,Q21#2_6,Q21#2_7,Q21#2_8,Q21#2_9,Q21#2_10,Q21#1_1,Q21#1_2,Q21#1_3,Q21#1_4,Q21#1_5,Q21#1_6,Q21#1_7,Q21#1_8,Q21#1_9,Q21#1_10
1,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,1
2,3,3,3,3,3,3,3,2,3,3,2,2,3,3,3,3,3,2,2,2
3,4,4,3,3,3,4,3,4,4,4,3,3,3,3,2,3,2,3,3,3
4,3,3,3,3,3,3,3,3,3,3,1,3,3,2,2,3,3,2,3,2
5,3,3,4,4,4,4,3,4,4,4,2,3,3,3,3,4,3,3,4,4
6,3,4,3,2,3,4,4,4,4,3,2,4,3,2,2,2,4,4,4,3
7,3,2,2,3,3,2,3,2,3,3,2,1,3,2,1,1,2,1,2,2
8,3,3,4,4,4,4,4,4,4,4,1,2,2,2,2,2,2,1,2,2
9,2,3,3,2,2,3,3,3,3,3,1,2,3,1,1,1,3,2,3,3
10,3,3,3,2,4,3,3,3,4,2,3,3,2,2,2,3,3,3,4,3
11,3,4,3,3,3,3,4,3,3,3,1,4,3,1,1,1,4,3,2,2
12,4,3,4,4,4,3,4,4,4,2,3,2,2,4,4,1,3,4,4,2
13,3,3,2,2,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,2
14,3,3,4,4,3,4,4,3,3,3,3,3,4,4,3,4,4,3,3,2
15,3,4,4,4,4,3,4,3,3,4,2,3,3,3,3,2,3,2,2,3
16,4,4,3,4,4,4,4,4,3,4,3,3,2,4,3,3,4,3,2,3
17,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
18,3,3,4,4,4,4,3,4,3,4,3,3,3,3,2,2,3,2,2,1
19,4,3,4,3,4,4,4,4,4,4,2,1,3,1,1,2,2,2,3,3
20,4,3,3,4,4,4,4,4,4,4,1,1,1,1,1,2,1,1,2,3
21,4,4,3,3,3,4,4,3,4,4,2,2,3,3,2,3,3,3,4,3
22,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,3,3
23,4,4,3,3,3,4,4,4,4,3,2,3,3,3,3,4,4,4,4,2
24,4,3,4,4,3,3,3,3,4,4,1,2,1,1,1,1,1,1,1,1
25,4,3,3,4,4,4,3,2,3,2,2,3,3,1,2,2,2,2,3,1
26,2,3,4,3,3,2,4,3,3,3,1,2,4,1,2,2,4,3,3,1
27,4,4,3,4,2,4,3,4,4,4,2,3,3,2,3,2,3,2,3,3
28,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2
29,3,3,3,3,3,2,3,3,3,3,2,2,1,2,1,1,2,2,2,2
30,3,4,4,4,4,4,4,4,4,3,2,4,4,2,2,2,4,4,4,2
31,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,2,2
32,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
33,3,3,3,3,3,3,3,3,3,3,1,2,2,1,1,1,2,2,1,2
34,3,3,3,3,4,3,3,3,3,3,2,3,2,2,3,3,3,3,2,3
35,4,3,4,4,4,4,4,4,3,3,1,2,3,3,3,3,3,3,2,2
36,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
37,3,4,4,3,3,3,4,4,4,2,3,4,3,2,2,2,3,3,3,1
38,3,2,4,2,2,3,2,2,4,3,1,1,4,3,1,2,2,2,4,3
39,4,4,4,4,3,3,3,4,4,4,1,4,4,2,2,3,3,3,3,2
40,3,3,3,4,4,2,2,3,2,2,3,3,2,2,3,2,2,2,2,2
41,3,4,4,3,4,4,4,3,4,3,2,3,3,3,3,3,4,3,4,2
42,2,2,2,2,2,3,3,2,2,1,4,3,4,4,3,4,3,4,4,3
43,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
44,3,3,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4
45,4,3,4,4,4,4,4,4,4,2,1,1,2,1,1,1,1,1,1,1
46,3,3,4,3,4,3,3,2,3,2,2,1,3,1,2,2,3,2,1,1
47,2,3,3,3,3,3,3,3,3,3,2,2,3,1,1,2,2,2,3,1
48,3,3,3,4,3,4,4,4,4,4,3,1,1,1,1,1,1,2,2,4