ID,Q25#1_1,Q25#1_2,Q25#1_3,Q25#1_4,Q25#1_5,Q25#2_1,Q25#2_2,Q25#2_3,Q25#2_4,Q25#2_5
1,5,3,5,5,5,5,2,5,5,5
2,3,3,3,3,4,3,3,3,3,2
3,5,5,5,5,5,5,5,5,5,5
4,4,3,4,3,4,4,3,4,3,4
5,5,4,5,5,5,4,4,4,4,5
6,5,4,5,4,4,4,4,4,4,4
7,5,4,5,5,5,5,4,4,4,3
8,5,5,5,4,5,3,3,3,3,3
9,3,2,3,2,5,3,2,3,2,4
10,5,3,5,5,5,5,3,5,5,5
11,5,3,4,3,4,5,3,4,3,4
12,5,3,5,5,5,4,3,5,5,5
13,4,2,4,4,3,4,2,4,4,4
14,4,3,4,4,3,4,3,4,4,3
15,4,4,4,3,5,3,3,3,3,4
16,4,5,4,4,5,3,4,3,4,4
17,1,5,5,5,5,1,3,3,5,3
18,5,5,5,5,5,5,5,3,5,5
19,3,5,5,5,5,3,2,2,2,2
20,2,2,3,2,5,2,2,1,1,1
21,3,3,3,2,2,3,2,1,2,2
22,3,3,3,3,3,2,2,2,2,2
23,5,5,5,5,5,3,3,3,3,3
24,5,5,2,5,5,5,3,2,3,3
25,5,5,3,5,5,2,1,3,1,1
26,5,5,5,5,5,5,5,5,5,5
27,5,3,3,5,3,3,3,3,3,3
28,5,5,5,5,5,5,5,5,5,5
29,3,4,3,3,4,3,3,3,3,3
30,3,3,3,3,3,3,3,3,3,3
31,4,3,3,3,3,4,3,3,3,2
32,5,5,5,5,5,4,4,4,4,4
33,5,4,5,5,4,5,4,4,3,3
34,3,3,3,2,2,3,3,3,2,2
35,2,2,2,1,2,1,2,2,1,2
36,4,3,4,4,5,2,1,1,2,3
37,4,4,2,3,3,4,2,2,2,2
38,5,5,5,5,5,5,5,5,5,5
39,4,5,5,3,4,1,1,1,1,1
40,5,4,5,5,5,5,4,5,5,5
41,5,5,5,3,5,5,5,5,3,5
42,4,3,4,3,4,4,3,4,2,4
43,3,5,3,3,5,1,2,1,1,3
44,5,4,5,5,5,5,4,5,5,5
45,5,5,5,5,5,5,5,5,5,5
46,4,3,4,5,5,3,3,3,3,3