Cohort,Diff
Year 1,0.424302606
Year 1,0.992576732
Year 1,-3.60E-08
Year 1,-1.44E-07
Year 1,1.361595374
Year 1,0.688020626
Year 1,1.691026016
Year 1,3.602034707
Year 1,0.510521677
Year 1,7.88E-07
Year 1,-5.02E-07
Year 1,0.424302606
Year 1,-0.361183961
Year 1,-1.44E-07
Year 1,1.428945868
Year 1,1.341798371
Year 2,2.240439321
Year 2,1.720577168
Year 2,4.824458528
Year 2,2.980769085
Year 2,1.201412741
Year 2,2.18436875
Year 2,4.743907684
Year 2,2.116966986
Year 2,6.021718816
Year 2,-3.60E-08
Year 2,1.589150093
Year 2,-3.60E-08
Year 3,0.896046985
Year 3,7.38E-06
Year 3,0.482062438
Year 3,2.832898993
Year 3,1.434180709
Year 3,1.00E-09
Year 3,0.422689603
Year 3,4.486701108
Year 3,1.889172951
Year 3,-3.60E-08
Year 3,7.667674865
Year 3,-4.90E-07
Year 3,7.88E-07
Year 3,0.361183817
Year 3,4.587537605
Year 3,-4.90E-07
Year 3,-3.60E-08
Year 3,2.240439321